pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2021_09_03_ep_17.ply,res/point_clouds/dense_2021_09_03_ep_17.ply,-198.4325,439.2334,637.6658,2761.4399,70.7,7.3
res/point_clouds/dense_2021_09_04_ep_18.ply,res/point_clouds/dense_2021_09_04_ep_18.ply,-1590.9413,498.8241,2089.7654,3335.3999,78.1,7.6
res/point_clouds/dense_2021_09_05_ep_19.ply,res/point_clouds/dense_2021_09_05_ep_19.ply,-3489.1050,408.7217,3897.8267,2581.5599,61.1,7.3
res/point_clouds/dense_2021_09_06_ep_20.ply,res/point_clouds/dense_2021_09_06_ep_20.ply,193.4438,656.9055,463.4617,3171.8399,76.1,7.5
res/point_clouds/dense_2021_09_07_ep_21.ply,res/point_clouds/dense_2021_09_07_ep_21.ply,-537.4237,304.9871,842.4108,2745.9999,69.9,7.3
res/point_clouds/dense_2021_09_08_ep_22.ply,res/point_clouds/dense_2021_09_08_ep_22.ply,812.2765,1110.3765,298.1000,1955.4000,48.2,6.9
res/point_clouds/dense_2021_09_09_ep_23.ply,res/point_clouds/dense_2021_09_09_ep_23.ply,-1063.1126,346.9784,1410.0910,2944.5599,71.5,7.4
res/point_clouds/dense_2021_09_11_ep_24.ply,res/point_clouds/dense_2021_09_11_ep_24.ply,-132.0673,685.6447,817.7120,2674.4399,64.9,7.3
res/point_clouds/dense_2021_09_12_ep_25.ply,res/point_clouds/dense_2021_09_12_ep_25.ply,-445.5210,448.5191,894.0402,1781.4800,44.6,6.9
res/point_clouds/dense_2021_09_13_ep_26.ply,res/point_clouds/dense_2021_09_13_ep_26.ply,-1461.1818,187.0767,1648.2586,2773.6399,73.6,7.4
res/point_clouds/dense_2021_09_14_ep_27.ply,res/point_clouds/dense_2021_09_14_ep_27.ply,-4467.9879,157.8971,4625.8850,2740.4399,64.7,7.5
res/point_clouds/dense_2021_09_16_ep_28.ply,res/point_clouds/dense_2021_09_16_ep_28.ply,-1275.4034,251.1731,1526.5765,3376.6399,86.0,7.7
res/point_clouds/dense_2021_09_17_ep_29.ply,res/point_clouds/dense_2021_09_17_ep_29.ply,-934.4880,197.8143,1132.3023,2352.0399,63.9,7.1
res/point_clouds/dense_2021_09_18_ep_30.ply,res/point_clouds/dense_2021_09_18_ep_30.ply,1713.2296,2187.2929,474.0633,2654.1999,70.5,7.3
res/point_clouds/dense_2021_09_20_ep_31.ply,res/point_clouds/dense_2021_09_20_ep_31.ply,103.6642,826.1394,722.4751,2657.1599,68.4,7.4
res/point_clouds/dense_2021_09_21_ep_32.ply,res/point_clouds/dense_2021_09_21_ep_32.ply,-637.3373,211.5494,848.8867,2385.9599,70.6,7.2
res/point_clouds/dense_2021_09_23_ep_33.ply,res/point_clouds/dense_2021_09_23_ep_33.ply,-2849.5283,300.1918,3149.7201,2499.7999,69.2,7.3
res/point_clouds/dense_2021_09_24_ep_34.ply,res/point_clouds/dense_2021_09_24_ep_34.ply,-854.6785,394.1540,1248.8324,2534.6799,65.8,7.5
res/point_clouds/dense_2021_09_25_ep_35.ply,res/point_clouds/dense_2021_09_25_ep_35.ply,-517.7615,227.4494,745.2110,2796.2799,73.3,7.6
res/point_clouds/dense_2021_09_27_ep_36.ply,res/point_clouds/dense_2021_09_27_ep_36.ply,1403.9696,1799.8601,395.8905,2461.5599,68.4,7.3
res/point_clouds/dense_2021_09_28_ep_37.ply,res/point_clouds/dense_2021_09_28_ep_37.ply,-2972.3255,534.8021,3507.1276,3067.1199,78.8,7.7
res/point_clouds/dense_2021_09_29_ep_38.ply,res/point_clouds/dense_2021_09_29_ep_38.ply,552.8870,975.0225,422.1355,2976.5599,77.8,7.6
res/point_clouds/dense_2021_09_30_ep_39.ply,res/point_clouds/dense_2021_09_30_ep_39.ply,534.6019,777.6652,243.0633,2908.2799,76.0,7.4
res/point_clouds/dense_2021_10_06_ep_40.ply,res/point_clouds/dense_2021_10_06_ep_40.ply,1448.8701,1913.5045,464.6345,2905.1199,76.4,7.5
res/point_clouds/dense_2021_10_07_ep_41.ply,res/point_clouds/dense_2021_10_07_ep_41.ply,-544.0436,235.2202,779.2638,2443.5199,71.2,7.4
res/point_clouds/dense_2021_10_08_ep_42.ply,res/point_clouds/dense_2021_10_08_ep_42.ply,-520.2345,723.9227,1244.1571,2877.2799,75.5,7.5
res/point_clouds/dense_2021_10_11_ep_43.ply,res/point_clouds/dense_2021_10_11_ep_43.ply,680.8210,1182.9924,502.1713,2549.3199,70.4,7.4
res/point_clouds/dense_2021_10_12_ep_44.ply,res/point_clouds/dense_2021_10_12_ep_44.ply,-149.6741,549.6620,699.3361,2282.8799,68.5,7.2
res/point_clouds/dense_2021_10_13_ep_45.ply,res/point_clouds/dense_2021_10_13_ep_45.ply,481.0447,850.9483,369.9036,2520.3599,73.3,7.3
res/point_clouds/dense_2021_10_14_ep_46.ply,res/point_clouds/dense_2021_10_14_ep_46.ply,-665.2355,350.6396,1015.8751,2561.0799,77.7,7.4
res/point_clouds/dense_2021_10_15_ep_47.ply,res/point_clouds/dense_2021_10_15_ep_47.ply,-145.1059,365.2352,510.3411,2675.1599,79.0,7.4
res/point_clouds/dense_2021_10_16_ep_48.ply,res/point_clouds/dense_2021_10_16_ep_48.ply,2121.6191,2801.5004,679.8813,2405.9599,68.2,7.3
res/point_clouds/dense_2021_10_17_ep_49.ply,res/point_clouds/dense_2021_10_17_ep_49.ply,-463.1635,354.1387,817.3021,2561.9599,70.2,7.4
res/point_clouds/dense_2021_10_18_ep_50.ply,res/point_clouds/dense_2021_10_18_ep_50.ply,351.8912,774.4725,422.5813,2743.5199,76.5,7.4
res/point_clouds/dense_2021_10_19_ep_51.ply,res/point_clouds/dense_2021_10_19_ep_51.ply,-3185.6722,332.0081,3517.6804,2879.2399,73.3,7.5
res/point_clouds/dense_2021_10_22_ep_52.ply,res/point_clouds/dense_2021_10_22_ep_52.ply,371.7740,863.4138,491.6398,2990.3599,78.0,7.6
