pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2021_10_11.ply,res/point_clouds/dense_2021_10_14.ply,814.8535,845.5741,30.7206,2656.5199,79.9,7.4
res/point_clouds/dense_2021_10_12.ply,res/point_clouds/dense_2021_10_15.ply,-39.0253,142.5410,181.5663,2467.3599,74.8,7.4
res/point_clouds/dense_2021_10_13.ply,res/point_clouds/dense_2021_10_16.ply,353.0377,362.3825,9.3448,2652.7599,82.0,7.4
res/point_clouds/dense_2021_10_14.ply,res/point_clouds/dense_2021_10_17.ply,-1261.2610,10.8372,1272.0981,2585.7999,79.5,7.4
res/point_clouds/dense_2021_10_15.ply,res/point_clouds/dense_2021_10_18.ply,521.0552,527.0829,6.0277,2523.0799,76.5,7.4
res/point_clouds/dense_2021_10_16.ply,res/point_clouds/dense_2021_10_19.ply,2410.5855,2424.5440,13.9585,2180.2400,65.0,7.1
res/point_clouds/dense_2021_10_17.ply,res/point_clouds/dense_2021_10_22.ply,-344.0532,233.1547,577.2079,2592.8399,76.6,7.4
res/point_clouds/dense_2021_10_18.ply,res/point_clouds/dense_2021_10_23.ply,-963.4463,2.7625,966.2089,2475.3999,72.6,7.4
res/point_clouds/dense_2021_10_19.ply,res/point_clouds/dense_2021_10_24.ply,-2665.3091,51.2057,2716.5148,2434.9199,64.4,7.3
res/point_clouds/dense_2021_10_22.ply,res/point_clouds/dense_2021_10_25.ply,653.7855,690.6520,36.8665,2872.9599,79.1,7.6
res/point_clouds/dense_2021_10_23.ply,res/point_clouds/dense_2021_10_27.ply,873.5731,886.9976,13.4245,2964.5199,80.4,7.6
res/point_clouds/dense_2021_10_24.ply,res/point_clouds/dense_2021_10_28.ply,-793.2970,15.6628,808.9598,3425.4799,91.0,7.7
res/point_clouds/dense_2021_10_25.ply,res/point_clouds/dense_2021_10_29.ply,-293.6752,18.9415,312.6167,3316.5999,89.1,7.7
res/point_clouds/dense_2021_10_27.ply,res/point_clouds/dense_2022_05_01.ply,-141.6246,1606.8030,1748.4276,2878.7999,73.7,7.5
res/point_clouds/dense_2021_10_28.ply,res/point_clouds/dense_2022_05_02.ply,-125.9166,1833.8413,1959.7579,3222.9199,83.1,7.7
res/point_clouds/dense_2021_10_29.ply,res/point_clouds/dense_2022_05_04.ply,-929.9590,1496.6276,2426.5866,3104.9599,82.4,7.7
res/point_clouds/dense_2022_05_01.ply,res/point_clouds/dense_2022_05_07.ply,-675.6596,23.2208,698.8803,2918.1199,78.7,7.6
res/point_clouds/dense_2022_05_02.ply,res/point_clouds/dense_2022_05_09.ply,-878.6721,14.5522,893.2243,3224.7599,87.5,7.7
res/point_clouds/dense_2022_05_04.ply,res/point_clouds/dense_2022_05_10.ply,-173.0387,177.0029,350.0416,2929.4799,83.7,7.6
res/point_clouds/dense_2022_05_07.ply,res/point_clouds/dense_2022_05_11.ply,-1361.9180,1.4679,1363.3860,3079.7999,86.2,7.6
res/point_clouds/dense_2022_05_09.ply,res/point_clouds/dense_2022_05_12.ply,-948.3941,3.9307,952.3249,2954.1199,84.0,7.5
res/point_clouds/dense_2022_05_10.ply,res/point_clouds/dense_2022_05_13.ply,-1103.2079,1.9405,1105.1483,2738.3199,82.0,7.6
res/point_clouds/dense_2022_05_11.ply,res/point_clouds/dense_2022_05_14.ply,-1226.9620,6.0743,1233.0362,2998.3199,85.8,7.5
res/point_clouds/dense_2022_05_12.ply,res/point_clouds/dense_2022_05_15.ply,-703.2759,46.1551,749.4311,2690.4799,78.5,7.5
res/point_clouds/dense_2022_05_13.ply,res/point_clouds/dense_2022_05_17.ply,-2371.8264,1.3436,2373.1700,2560.3999,76.9,7.5
res/point_clouds/dense_2022_05_14.ply,res/point_clouds/dense_2022_05_18.ply,-1714.9299,1.8400,1716.7699,2705.0799,78.8,7.5
res/point_clouds/dense_2022_05_15.ply,res/point_clouds/dense_2022_05_19.ply,-1502.7541,2.1220,1504.8762,2896.3199,82.2,7.6
res/point_clouds/dense_2022_05_17.ply,res/point_clouds/dense_2022_05_20.ply,-664.3898,14.8927,679.2825,2442.2799,73.6,7.3
res/point_clouds/dense_2022_05_18.ply,res/point_clouds/dense_2022_05_21.ply,-575.0495,87.7949,662.8444,2645.0399,81.8,7.4
res/point_clouds/dense_2022_05_19.ply,res/point_clouds/dense_2022_05_22.ply,-1208.2903,14.2551,1222.5454,3236.5599,88.7,7.7
res/point_clouds/dense_2022_05_20.ply,res/point_clouds/dense_2022_05_24.ply,-745.4720,130.0341,875.5060,2681.0799,72.2,7.4
res/point_clouds/dense_2022_05_21.ply,res/point_clouds/dense_2022_05_25.ply,-357.3743,202.8048,560.1791,2772.1999,78.5,7.6
res/point_clouds/dense_2022_05_22.ply,res/point_clouds/dense_2022_05_26.ply,-623.7828,97.1956,720.9784,3211.0799,87.1,7.7
res/point_clouds/dense_2022_05_24.ply,res/point_clouds/dense_2022_05_27.ply,-705.2422,9.6999,714.9421,1989.3200,54.8,7.2
res/point_clouds/dense_2022_05_25.ply,res/point_clouds/dense_2022_05_28.ply,-2554.6986,2.0004,2556.6989,2931.8799,82.0,7.6
res/point_clouds/dense_2022_05_26.ply,res/point_clouds/dense_2022_05_31.ply,-2048.8974,4.1541,2053.0515,3155.2399,87.9,7.7
res/point_clouds/dense_2022_05_27.ply,res/point_clouds/dense_2022_06_01.ply,-966.4260,100.1554,1066.5814,1929.4800,56.5,7.2
res/point_clouds/dense_2022_05_28.ply,res/point_clouds/dense_2022_06_02.ply,-875.4023,111.8386,987.2409,2995.2799,83.3,7.6
res/point_clouds/dense_2022_05_31.ply,res/point_clouds/dense_2022_06_04.ply,-2650.3767,3.0799,2653.4566,3030.7999,85.1,7.7
res/point_clouds/dense_2022_06_01.ply,res/point_clouds/dense_2022_06_06.ply,-2765.8530,146.2595,2912.1125,2984.1199,84.5,7.7
res/point_clouds/dense_2022_06_02.ply,res/point_clouds/dense_2022_06_07.ply,-2857.8622,6.8846,2864.7468,2904.5599,79.4,7.6
res/point_clouds/dense_2022_06_04.ply,res/point_clouds/dense_2022_06_08.ply,-600.7732,201.2072,801.9804,2996.9199,84.0,7.7
res/point_clouds/dense_2022_06_06.ply,res/point_clouds/dense_2022_06_09.ply,193.9064,510.5993,316.6929,2985.0399,87.1,7.7
res/point_clouds/dense_2022_06_07.ply,res/point_clouds/dense_2022_06_10.ply,-551.4596,180.0316,731.4911,2770.8799,79.5,7.4
res/point_clouds/dense_2022_06_08.ply,res/point_clouds/dense_2022_06_11.ply,-368.4966,142.7400,511.2366,2409.4399,69.9,7.5
res/point_clouds/dense_2022_06_09.ply,res/point_clouds/dense_2022_06_12.ply,-2127.9974,3.3889,2131.3863,2433.9199,70.1,7.4
res/point_clouds/dense_2022_06_10.ply,res/point_clouds/dense_2022_06_13.ply,-844.1153,53.0585,897.1738,2565.5199,74.2,7.4
res/point_clouds/dense_2022_06_11.ply,res/point_clouds/dense_2022_06_14.ply,-1695.1425,0.1996,1695.3422,2116.2000,69.1,7.3
res/point_clouds/dense_2022_06_12.ply,res/point_clouds/dense_2022_06_15.ply,-303.4128,261.7792,565.1920,2482.0799,70.4,7.4
res/point_clouds/dense_2022_06_13.ply,res/point_clouds/dense_2022_06_16.ply,-1548.7509,0.6336,1549.3845,2378.0799,72.5,7.4
res/point_clouds/dense_2022_06_14.ply,res/point_clouds/dense_2022_06_17.ply,-821.9222,97.2230,919.1452,2364.5199,70.9,7.3
res/point_clouds/dense_2022_06_15.ply,res/point_clouds/dense_2022_06_18.ply,-1683.7176,0.4302,1684.1478,2470.9999,70.5,7.4
res/point_clouds/dense_2022_06_16.ply,res/point_clouds/dense_2022_06_19.ply,-456.7992,261.0150,717.8141,2614.7199,75.9,7.5
res/point_clouds/dense_2022_06_17.ply,res/point_clouds/dense_2022_06_20.ply,-1171.8721,12.3422,1184.2143,2720.4399,76.4,7.4
res/point_clouds/dense_2022_06_18.ply,res/point_clouds/dense_2022_06_21.ply,-316.2562,204.0323,520.2886,2450.8799,68.9,7.3
res/point_clouds/dense_2022_06_19.ply,res/point_clouds/dense_2022_06_23.ply,-743.1631,94.5720,837.7351,2983.5599,81.7,7.6
res/point_clouds/dense_2022_06_20.ply,res/point_clouds/dense_2022_06_25.ply,-2743.2306,4.9601,2748.1907,2960.5599,82.3,7.6
res/point_clouds/dense_2022_06_21.ply,res/point_clouds/dense_2022_06_26.ply,-1589.5498,3.6259,1593.1757,3065.8399,83.7,7.6
res/point_clouds/dense_2022_06_23.ply,res/point_clouds/dense_2022_06_27.ply,-1139.3437,3.0624,1142.4061,2903.9199,81.5,7.6
res/point_clouds/dense_2022_06_25.ply,res/point_clouds/dense_2022_06_29.ply,357.2409,596.6207,239.3799,2784.1199,74.0,7.5
res/point_clouds/dense_2022_06_26.ply,res/point_clouds/dense_2022_06_30.ply,-1087.7280,14.4717,1102.1997,3245.0399,89.8,7.7
res/point_clouds/dense_2022_06_27.ply,res/point_clouds/dense_2022_07_02.ply,-2795.2346,2.2891,2797.5237,2892.6399,80.9,7.5
res/point_clouds/dense_2022_06_29.ply,res/point_clouds/dense_2022_07_03.ply,-1893.7444,1.5037,1895.2482,2920.3199,83.0,7.5
res/point_clouds/dense_2022_06_30.ply,res/point_clouds/dense_2022_07_04.ply,-2324.7935,1.5782,2326.3717,3316.1199,89.7,7.7
res/point_clouds/dense_2022_07_02.ply,res/point_clouds/dense_2022_07_05.ply,166.2421,490.0269,323.7848,2988.7999,82.8,7.6
res/point_clouds/dense_2022_07_03.ply,res/point_clouds/dense_2022_07_06.ply,-1354.1684,3.6274,1357.7958,3045.2799,85.7,7.5
res/point_clouds/dense_2022_07_04.ply,res/point_clouds/dense_2022_07_07.ply,-1112.5240,5.7556,1118.2796,3269.3199,88.5,7.7
res/point_clouds/dense_2022_07_05.ply,res/point_clouds/dense_2022_07_08.ply,-2532.1417,1.1074,2533.2491,2813.5599,80.8,7.5
res/point_clouds/dense_2022_07_06.ply,res/point_clouds/dense_2022_07_09.ply,-1167.7013,32.7985,1200.4999,3117.3999,86.3,7.6
res/point_clouds/dense_2022_07_07.ply,res/point_clouds/dense_2022_07_10.ply,-1730.7047,1.2097,1731.9143,2713.9199,76.4,7.4
res/point_clouds/dense_2022_07_08.ply,res/point_clouds/dense_2022_07_11.ply,-205.5431,208.5779,414.1210,2666.1599,78.9,7.4
res/point_clouds/dense_2022_07_09.ply,res/point_clouds/dense_2022_07_12.ply,-1132.5504,73.3986,1205.9490,2871.5199,80.2,7.5
res/point_clouds/dense_2022_07_10.ply,res/point_clouds/dense_2022_07_13.ply,-661.3859,34.4949,695.8808,2619.5999,78.3,7.3
res/point_clouds/dense_2022_07_11.ply,res/point_clouds/dense_2022_07_14.ply,-491.9380,221.2203,713.1583,2806.4799,80.2,7.5
res/point_clouds/dense_2022_07_12.ply,res/point_clouds/dense_2022_07_15.ply,-855.9689,4.8604,860.8293,2442.7599,72.9,7.3
res/point_clouds/dense_2022_07_13.ply,res/point_clouds/dense_2022_07_16.ply,-212.1845,221.5267,433.7111,2324.7999,71.5,7.3
res/point_clouds/dense_2022_07_14.ply,res/point_clouds/dense_2022_07_17.ply,-3087.8664,1.8424,3089.7088,2708.5599,73.7,7.5
res/point_clouds/dense_2022_07_15.ply,res/point_clouds/dense_2022_07_18.ply,-1968.7436,0.4045,1969.1482,2278.3599,71.2,7.2
res/point_clouds/dense_2022_07_16.ply,res/point_clouds/dense_2022_07_19.ply,-1579.5013,0.2364,1579.7377,2283.1999,70.0,7.3
res/point_clouds/dense_2022_07_17.ply,res/point_clouds/dense_2022_07_20.ply,-362.5251,229.9625,592.4876,2531.3999,72.6,7.4
res/point_clouds/dense_2022_07_18.ply,res/point_clouds/dense_2022_07_21.ply,-1429.7865,0.7262,1430.5127,2607.7599,77.3,7.4
res/point_clouds/dense_2022_07_19.ply,res/point_clouds/dense_2022_07_22.ply,-2161.1657,1.2559,2162.4216,2816.1999,81.6,7.5
res/point_clouds/dense_2022_07_20.ply,res/point_clouds/dense_2022_07_23.ply,-2382.5292,0.1681,2382.6973,2814.8799,77.2,7.5
res/point_clouds/dense_2022_07_21.ply,res/point_clouds/dense_2022_07_24.ply,-1244.1960,3.0177,1247.2137,2773.5599,80.0,7.5
res/point_clouds/dense_2022_07_22.ply,res/point_clouds/dense_2022_07_25.ply,-1960.6330,2.3862,1963.0193,3031.9599,84.8,7.6
res/point_clouds/dense_2022_07_23.ply,res/point_clouds/dense_2022_07_26.ply,-532.1866,199.0404,731.2270,2880.0799,78.5,7.6
res/point_clouds/dense_2022_07_24.ply,res/point_clouds/dense_2022_07_27.ply,-1081.8587,24.3751,1106.2337,2844.8799,80.1,7.5
res/point_clouds/dense_2022_07_25.ply,res/point_clouds/dense_2022_07_28.ply,-945.1376,29.6313,974.7690,3263.5999,89.5,7.7
res/point_clouds/dense_2022_07_26.ply,res/point_clouds/dense_2022_07_29.ply,-1340.7481,1.2653,1342.0134,2887.4399,79.7,7.6
res/point_clouds/dense_2022_07_27.ply,res/point_clouds/dense_2022_07_30.ply,-707.2467,78.1058,785.3524,3157.1199,89.2,7.7
res/point_clouds/dense_2022_07_28.ply,res/point_clouds/dense_2022_07_31.ply,-916.1485,30.9942,947.1427,2826.5999,79.3,7.5
