pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_ep_33_2022_09_01.ply,res/point_clouds/dense_ep_36_2022_09_05.ply,-1160.4265,74.2343,1234.6608,3448.0799,80.97.5
res/point_clouds/dense_ep_34_2022_09_02.ply,res/point_clouds/dense_ep_37_2022_09_06.ply,-926.4941,146.3551,1072.8493,3297.8799,77.67.4
res/point_clouds/dense_ep_35_2022_09_04.ply,res/point_clouds/dense_ep_38_2022_09_07.ply,-866.5598,129.7088,996.2687,3339.4799,80.57.6
res/point_clouds/dense_ep_36_2022_09_05.ply,res/point_clouds/dense_ep_39_2022_09_08.ply,-930.3760,95.0086,1025.3846,3497.8799,81.87.7
res/point_clouds/dense_ep_37_2022_09_06.ply,res/point_clouds/dense_ep_40_2022_09_09.ply,-670.3211,129.3926,799.7137,3154.9999,80.57.3
res/point_clouds/dense_ep_38_2022_09_07.ply,res/point_clouds/dense_ep_41_2022_09_10.ply,-362.1164,190.8658,552.9822,3110.1199,77.77.5
res/point_clouds/dense_ep_39_2022_09_08.ply,res/point_clouds/dense_ep_42_2022_09_11.ply,-535.4770,200.0915,735.5684,3254.7999,80.37.6
res/point_clouds/dense_ep_40_2022_09_09.ply,res/point_clouds/dense_ep_43_2022_09_12.ply,-561.2533,159.1195,720.3728,3127.5599,81.87.3
res/point_clouds/dense_ep_41_2022_09_10.ply,res/point_clouds/dense_ep_44_2022_09_13.ply,-1095.4356,72.2776,1167.7132,3345.2799,81.07.4
res/point_clouds/dense_ep_42_2022_09_11.ply,res/point_clouds/dense_ep_45_2022_09_15.ply,-1177.9314,80.0596,1257.9910,3296.3599,80.47.4
res/point_clouds/dense_ep_43_2022_09_12.ply,res/point_clouds/dense_ep_46_2022_09_16.ply,-1066.4338,70.7602,1137.1940,3014.7999,77.37.3
res/point_clouds/dense_ep_44_2022_09_13.ply,res/point_clouds/dense_ep_47_2022_09_17.ply,-712.5718,146.7692,859.3410,3185.7199,77.47.5
res/point_clouds/dense_ep_45_2022_09_15.ply,res/point_clouds/dense_ep_48_2022_09_18.ply,-397.3318,131.4846,528.8164,2895.0399,71.67.2
res/point_clouds/dense_ep_46_2022_09_16.ply,res/point_clouds/dense_ep_49_2022_09_19.ply,-213.3158,140.7353,354.0511,3171.7199,82.47.3
res/point_clouds/dense_ep_47_2022_09_17.ply,res/point_clouds/dense_ep_50_2022_09_20.ply,-220.2734,131.7428,352.0163,3058.3199,76.87.4
res/point_clouds/dense_ep_48_2022_09_18.ply,res/point_clouds/dense_ep_51_2022_09_22.ply,-374.5932,83.6332,458.2264,2944.9199,70.97.2
res/point_clouds/dense_ep_49_2022_09_19.ply,res/point_clouds/dense_ep_52_2022_09_23.ply,-309.5579,95.6789,405.2368,3244.7999,80.27.4
res/point_clouds/dense_ep_50_2022_09_20.ply,res/point_clouds/dense_ep_53_2022_09_26.ply,-827.0014,39.8697,866.8711,3397.3999,78.97.4
