Label,E,N,h
F2,416514.0983,5091103.5718,1839.1975
T1,416296.2029921674,5090660.041289238,2002.2078803688257
T2,415977.4309917586,5090863.486288809,2007.725880604611
T3,416087.77299190545,5091031.639288373,1989.3338807280552
T4,415972.49999205116,5090806.777288245,1985.1648807778072
F11,416507.74826920236,5091124.700297211,1839.261296134104
F12,415961.97735039814,5090832.460307722,2006.15815474617
F13,416502.2063581245,5091117.600036517,1838.3605156880742
