feature_id,x,y
0,1180.0,2283.0
1,2261.0,2797.0
2,1719.0,2580.0
3,1323.0,2344.0
4,1345.0,2437.0
5,2174.0,2776.0
6,1423.0,2357.0
7,1691.0,2562.0
8,1485.0,2492.0
9,1663.0,2575.0
10,1255.0,2402.0
11,1345.0,2437.0
12,2261.0,2797.0
13,2046.0,2596.0
14,1719.0,2580.0
15,2190.0,2771.0
16,1866.0,2573.0
17,2373.0,2193.0
18,1890.0,2437.0
19,2401.0,2467.0
20,1897.0,2155.0
21,2510.0,2464.0
22,1866.0,2573.0
23,2664.0,2659.0
24,2312.0,2239.0
25,2046.0,2596.0
26,2308.0,2310.0
27,2261.0,2797.0
28,2252.0,2315.0
29,2096.0,2352.0
30,2396.0,2247.0
31,1849.0,2775.0
32,2372.0,2219.0
33,1878.0,2549.0
34,2172.0,2331.0
35,2612.0,2584.0
36,1996.0,2350.0
37,1772.0,2577.0
38,2496.0,2219.0
39,1863.0,2625.0
40,2950.0,2588.0
41,1804.0,2322.0
42,2174.0,2776.0
43,2079.0,2362.0
44,2597.0,2605.0
45,1868.0,2393.0
46,1951.0,2143.0
47,2703.0,2450.0
48,1819.0,2514.0
49,2143.0,2678.0
50,2534.0,2626.0
51,2050.0,2718.0
52,1809.0,2597.0
53,1844.0,2339.0
54,2301.0,2454.0
55,2717.0,2629.0
56,2761.0,2451.0
57,1804.0,2464.0
58,1892.0,2355.0
59,2106.0,2579.0
60,1853.0,2340.0
61,1828.0,2338.0
62,2046.0,2596.0
63,2401.0,2467.0
64,1890.0,2437.0
65,2016.0,2354.0
66,2095.0,2352.0
67,1866.0,2573.0
68,2502.0,2483.0
69,2664.0,2659.0
70,1896.0,2549.0
71,1909.0,2314.0
72,2261.0,2797.0
73,2950.0,2588.0
74,2252.0,2315.0
75,1870.0,2343.0
76,2612.0,2584.0
77,1819.0,2514.0
78,1996.0,2350.0
79,3658.0,2646.0
80,3721.0,2795.0
81,4126.0,2508.0
82,3948.0,2483.0
83,3495.0,2679.0
84,3799.0,2804.0
85,3293.0,2749.0
86,3754.0,2603.0
87,3709.0,2199.0
88,3938.0,2421.0
89,3969.0,2479.0
90,3184.0,2457.0
91,3694.0,2804.0
92,3055.0,2653.0
93,3729.0,2815.0
94,3934.0,2475.0
95,3910.0,2396.0
96,3236.0,2736.0
97,3887.0,2327.0
98,4023.0,2364.0
99,3736.0,2745.0
100,3925.0,2448.0
101,2962.0,1946.0
102,3163.0,2433.0
103,2963.0,2575.0
104,4035.0,2734.0
105,3853.0,2813.0
106,3853.0,2847.0
107,3874.0,2372.0
108,3302.0,2687.0
109,2978.0,2332.0
110,3257.0,2606.0
111,3265.0,2743.0
112,3542.0,2105.0
113,3730.0,2182.0
114,3762.0,2314.0
115,2950.0,2588.0
116,3095.0,2436.0
117,3856.0,2787.0
118,3944.0,2448.0
119,3177.0,2471.0
120,2913.0,2215.0
121,3122.0,2695.0
122,3782.0,2554.0
123,3151.0,2704.0
124,3566.0,2120.0
125,3679.0,2602.0
126,3922.0,2404.0
127,3004.0,2465.0
128,3930.0,2249.0
129,3195.0,2507.0
130,3103.0,2555.0
131,3208.0,2503.0
132,3263.0,2446.0
133,3966.0,2405.0
134,4187.0,2518.0
135,3301.0,2499.0
136,3711.0,2678.0
137,3005.0,2294.0
138,3234.0,2705.0
139,3069.0,2328.0
140,3991.0,2356.0
141,3722.0,2365.0
142,4032.0,2393.0
143,3410.0,2445.0
144,3790.0,2785.0
145,3843.0,2584.0
146,4021.0,2306.0
147,3874.0,2372.0
148,3721.0,2795.0
149,3938.0,2421.0
150,3948.0,2483.0
151,3934.0,2475.0
152,3552.0,3543.0
153,3754.0,2602.0
154,3729.0,2815.0
155,3969.0,2479.0
156,3236.0,2736.0
157,3799.0,2804.0
158,3578.0,3164.0
159,3925.0,2448.0
160,3495.0,2679.0
161,3736.0,2745.0
162,3265.0,2743.0
163,3694.0,2804.0
164,4355.0,3198.0
165,3234.0,2705.0
166,3660.0,3168.0
167,2950.0,2588.0
168,3123.0,2695.0
169,3095.0,2436.0
170,3177.0,2471.0
171,3782.0,2554.0
172,3856.0,2787.0
173,2978.0,2332.0
174,4822.0,1855.0
175,4297.0,2433.0
176,4494.0,2232.0
177,4869.0,2149.0
