label,x,y
T2,1823.7332,1352.4071
T3,3200.7522,1129.7383
T4,1368.4927,1615.7185
F2,4005.9868,3544.3723
F4,5834.4561,2416.9724
F10,3473.8220,3198.2107
F11,5031.3403,3439.3535
