label,x,y
T2,5871.2173,552.5900
T4,5391.5210,871.3490
F2,1007.1367,3858.9214
F3,5084.8096,2295.2078
F4,3760.9534,3241.9453
F5,74.3545,3624.7961
11,4433.8945,1496.8832
12,3549.5051,2187.6667
13,2656.4519,2852.9426
15,2920.3989,2824.7622
16,2962.3040,3397.8645
17,4193.6655,2846.9600
19,5158.6987,1651.2991
